date,nav,fund_code,fund_name,category
2013-05-31,18.383,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-03,18.31,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-04,18.28,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-05,18.271,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-06,18.261,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-07,18.17,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-10,18.088,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-11,17.818,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-12,17.698,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-13,17.467,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-14,17.767,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-17,17.884,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-18,17.822,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-19,17.923,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-20,17.491,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-21,17.458,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-24,17.238,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-25,17.244,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-26,17.222,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-27,17.433,118825,Mirae Asset Large Cap Fund,Large Cap
2013-06-28,17.802,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-01,18.002,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-02,17.915,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-03,17.7,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-04,17.89,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-05,17.897,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-08,17.784,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-09,17.927,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-10,17.852,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-11,18.076,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-12,18.272,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-15,18.355,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-16,18.162,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-17,18.112,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-18,18.351,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-19,18.316,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-22,18.341,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-23,18.426,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-24,18.191,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-25,18.042,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-26,17.963,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-29,17.819,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-30,17.556,118825,Mirae Asset Large Cap Fund,Large Cap
2013-07-31,17.588,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-01,17.539,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-02,17.458,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-05,17.468,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-06,17.057,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-07,16.992,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-08,17.218,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-12,17.454,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-13,17.729,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-14,17.924,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-16,17.272,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-19,16.955,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-20,16.89,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-21,16.596,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-22,16.781,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-23,16.993,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-26,17.066,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-27,16.558,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-28,16.462,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-29,16.822,118825,Mirae Asset Large Cap Fund,Large Cap
2013-08-30,16.993,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-02,17.216,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-03,16.712,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-04,17.014,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-05,17.395,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-06,17.624,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-10,18.126,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-11,18.238,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-12,18.05,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-13,18.014,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-16,18.018,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-17,18.015,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-18,18.119,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-19,18.665,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-20,18.415,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-23,18.1,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-24,18.114,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-25,18.092,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-26,18.105,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-27,18.02,118825,Mirae Asset Large Cap Fund,Large Cap
2013-09-30,17.732,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-01,17.928,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-03,18.248,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-04,18.31,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-07,18.321,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-08,18.375,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-09,18.616,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-10,18.684,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-11,18.93,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-14,19.0,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-15,18.898,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-17,18.764,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-18,19.138,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-21,19.28,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-22,19.287,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-23,19.256,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-24,19.236,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-25,19.162,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-28,19.017,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-29,19.337,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-30,19.459,118825,Mirae Asset Large Cap Fund,Large Cap
2013-10-31,19.665,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-01,19.778,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-05,19.784,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-06,19.736,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-07,19.593,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-08,19.527,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-11,19.478,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-12,19.301,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-13,19.196,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-14,19.433,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-18,19.763,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-19,19.863,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-20,19.652,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-21,19.383,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-22,19.387,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-25,19.695,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-26,19.513,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-27,19.498,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-28,19.548,118825,Mirae Asset Large Cap Fund,Large Cap
2013-11-29,19.787,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-02,19.905,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-03,19.892,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-04,19.775,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-05,19.993,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-06,20.068,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-09,20.361,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-10,20.278,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-11,20.215,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-12,20.036,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-13,19.829,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-16,19.875,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-17,19.906,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-18,20.138,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-19,20.102,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-20,20.414,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-23,20.397,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-24,20.378,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-26,20.436,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-27,20.506,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-30,20.465,118825,Mirae Asset Large Cap Fund,Large Cap
2013-12-31,20.499,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-01,20.548,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-02,20.316,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-03,20.413,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-06,20.434,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-07,20.354,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-08,20.423,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-09,20.407,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-10,20.403,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-13,20.594,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-14,20.54,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-15,20.671,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-16,20.587,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-17,20.353,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-20,20.508,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-21,20.588,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-22,20.708,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-23,20.707,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-24,20.453,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-27,19.993,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-28,19.932,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-29,19.918,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-30,19.733,118825,Mirae Asset Large Cap Fund,Large Cap
2014-01-31,19.994,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-03,19.775,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-04,19.83,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-05,19.942,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-06,19.999,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-07,20.116,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-10,20.077,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-11,20.16,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-12,20.265,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-13,19.995,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-14,20.137,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-17,20.187,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-18,20.364,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-19,20.462,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-20,20.312,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-21,20.52,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-24,20.572,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-25,20.653,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-26,20.767,118825,Mirae Asset Large Cap Fund,Large Cap
2014-02-28,20.942,118825,Mirae Asset Large Cap Fund,Large Cap
2014-03-03,20.9,118825,Mirae Asset Large Cap Fund,Large Cap
